subject,task,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
sub-15,msit,-0.4100558178022692,-0.8261183305727144,0.014313057141743912,-0.03423288701223909,1.868492189131096,-0.8144626720199342,-0.9464417110265797
sub-15,sternberg,-0.5508298969753592,0.38983112984326224,-0.6738606448104332,0.03112059321100502,-0.4845323698927247,-0.41638594356192404,-0.8999842024556711
sub-16,msit,0.37245180795401966,-0.5605424838046027,0.654674935133622,-1.0047880232319657,-0.6431201951294074,-0.698565736578349,-1.3237528344506102
sub-16,sternberg,1.5195428237350037,-0.0635692298652536,1.0950361455561768,-0.35744705232990454,0.3859876835656101,0.11620053001019355,0.0312076082016865
sub-17,msit,-0.4974563820701856,0.011455545631891995,0.011072109342941172,-0.23787266109059246,1.6088864982396962,-0.4205981412318461,-0.4895727239661686
sub-17,sternberg,0.505370519189263,0.1908293166152702,0.296599987960923,0.37767678367465957,0.6531549147072762,0.3604490903573625,-0.055971399941507016
sub-18,msit,-0.372566590749263,-0.9090248969670761,0.22096078061225116,-0.1884740596447455,1.7827015871021232,0.06462104539126401,-0.5191831784213361
sub-18,sternberg,0.6506997784137256,0.1543976141989118,0.4239137395744079,-0.21866086108633512,0.5984730494240136,-0.5397101233067868,-0.3900500536619032
sub-19,msit,0.5568509383290589,-1.3227419436637031,1.2201765276659324,-1.618049305203031,-0.5680144093302408,0.6553255746339458,-0.33305273248327116
sub-19,sternberg,-0.19505860546503068,0.8449472565932036,-0.5757055079613644,1.1234086262198233,0.27857775849103206,-0.32892165435435244,-0.6190018925355667
sub-20,msit,2.6325396911371017,-0.027573192657975545,2.2663130358817867,-0.046488637736377486,0.5087605424683406,2.3839462258897077,2.979979240089921
sub-20,sternberg,0.43469399338080533,1.0600494751604048,-0.18340874546115055,1.1886367657415553,-0.6041245572080652,-0.23305832196093068,-0.45053749393758363
sub-21,msit,0.6956874157400894,-0.90437140094041,1.0983973908809923,-0.13043295413960387,-0.1127752865264732,-1.0560098098190434,-1.361536183657031
sub-21,sternberg,-0.20851522598665134,-0.47592825705031705,0.13326620724643146,0.16428649473233833,-0.6024353608851885,0.6138159014174704,0.42127263363573236
sub-23,msit,0.8938851563053837,1.6406875881864305,-0.07440564414822237,1.6652940768034465,0.06069606464026678,0.2805954499883936,-0.3388195940867604
sub-23,sternberg,0.32029129000397405,-0.9070968220915725,0.6433449694377924,-1.1631610658205704,1.9787070960050028,0.6844023133753743,0.6803965156235832
sub-24,msit,0.11926048515489375,0.04910913315570137,0.11884647217043745,0.07495239641475249,0.3735544049645798,-0.9792324653103008,-1.0376698163208216
sub-24,sternberg,1.1338951818533356,-0.1370874854502117,0.9835309884541987,-0.35071700416062335,-0.29901100479081444,-0.17237081158317036,-0.5475452402172243
sub-25,msit,0.14350378036982497,0.18323063229879832,0.2783547486820163,0.000512435380690901,-0.45813113615015316,-0.23218546882858426,0.07998893010614538
sub-25,sternberg,-0.45679419861261183,-0.10095558910145064,-0.38168301173121016,-0.5963879467194945,0.6222829735160238,-1.7999272660224985,-1.6991946276630951
sub-26,msit,0.3364256157767157,0.5786921342343584,0.09236564928634004,0.05832909734015579,0.34830637287464733,1.1515604429095814,0.9535549435508224
sub-26,sternberg,-2.115921608724411,2.112961490779379,-2.4851954978312913,2.4006662526208955,0.295995764330035,0.5155475183106384,0.2809637671902334
sub-27,msit,0.9506331985397648,0.023887382866829787,0.5555770083900903,-0.330184909367924,-0.6217528726000205,0.936358293051588,0.27543719208023
sub-27,sternberg,0.04830774109528313,1.2048193357863193,-0.5788405184676925,1.0445770938949661,-0.5628309969794044,-0.11260368018527678,-0.6016510559955808
sub-29,msit,-0.17728955646385702,-1.7172053323801935,0.8586368729468556,-1.7854928234263836,0.4428109047179858,0.29632691640633735,0.007123435481997786
sub-29,sternberg,-0.009903674718605537,1.549908236902549,-0.637167400733051,1.415716715893388,0.018604526762867807,0.7144785771459043,0.4608240882348249
sub-31,msit,1.0060911906933754,0.2569484457537106,0.8932840261365247,-0.1615840536007587,2.232992103355311,0.18462822421901465,-0.410008086280667
sub-31,sternberg,0.4970130439677652,0.20416761087466095,0.16945024314440493,0.0760699455042429,0.7848845637448673,0.1830207156515199,0.08844096237172516
sub-32,msit,0.53669329094683,1.2194634578892376,-0.27160278065621907,1.2155595867079818,0.6490767642280937,-0.8895383996529356,-0.48651265256237175
sub-32,sternberg,1.217563764158736,-0.7395379510374335,1.2133671868542923,-0.23050004757651188,-0.0876855202435235,0.11112831195285527,-0.4498606682980367
sub-33,msit,0.12816429206564195,0.689873258762852,-0.3152535707690355,0.8204504328223027,0.6467004527625766,0.9608642195043247,0.9011781965504126
sub-33,sternberg,0.6878692200685468,-2.1032343547009553,1.3664569328889042,-0.614971400259499,-0.028361705025569006,-0.3715713335698807,-0.6129429497150889
sub-34,msit,0.73281424730574,0.9427305118911942,0.09786438222030054,0.6088801933722089,0.702656149334717,-0.4213148102054204,-1.0846807038421227
sub-34,sternberg,-2.182076853133676,0.49034972546003763,-1.4111008052556384,0.8704281692920425,1.1230080831545846,-1.0097511908929608,-0.9802521197855767
sub-35,msit,0.06599206980524355,-0.2041141784853331,0.20664587657665195,-0.6330393947492735,-0.0011909477532301427,0.9194342203554522,-0.0753151774092718
sub-35,sternberg,1.078461257022713,-1.000658054183893,1.3095451796354407,-0.9347471628860003,-0.45280086612661186,0.6537554632058746,0.1022056723889712
sub-36,msit,0.18873946600750868,-0.26554421418956453,0.2803696161064555,-0.4055116204764025,1.5202696647516984,-1.7104417276598685,-1.5061836358796574
sub-36,sternberg,-0.5507961584635716,0.21450044272449104,-0.41467386558607194,0.09880514820346026,1.0238698526739767,-0.18832981205137214,0.03502851807427787
sub-37,msit,1.1105403433974559,-0.1796916127800206,0.7845612282862067,-0.3349029226527833,1.063991365746324,0.06870947343916067,0.08522742484721463
sub-37,sternberg,-0.5439878550021009,1.0449105496904463,-0.9228883651734974,1.4214833418480612,-0.3158375022769597,-0.38774336318523117,-0.8030785917229011
sub-38,msit,2.054342933714671,-1.7506276353929,2.831798371124836,-1.847646930484209,-0.6584403206235089,-1.2133189116215077,-0.9837711610187059
sub-38,sternberg,1.7332592467306196,-0.39699523010816296,1.407924992968682,-0.2941719922350129,0.3123501464286418,-0.527998955391347,-0.5111194623478547
sub-39,msit,1.34481850633849,-0.5058353683075699,1.3647914782939359,-0.5111010591940273,1.1198139505418292,-0.7620955605093782,-0.5932298488076848
sub-39,sternberg,0.8236422136776146,-0.1151685825624139,0.6925533086380555,0.15532586886046895,0.03772596115496085,-0.12406528271544914,-0.49422487500762324
sub-40,msit,-0.22625147073607177,0.616802923539442,-0.696903933163084,1.0652185448680003,0.44785594325033606,-0.05835976175454646,-0.14358749786754949
sub-40,sternberg,-0.7427977930765556,0.42706384962248284,-0.7004302464398406,0.8780487142610464,-0.6422463363294746,-0.7763291044379195,-1.1829802006623393
sub-41,msit,0.6030841801466159,-0.26680357845349817,0.6001834182897772,-0.561108421172614,-0.7783713224620225,0.15517849024663843,0.08676341593590126
sub-41,sternberg,-0.9223981238369601,1.059915610925741,-1.1286302984601124,0.6752210179874414,-0.6243309626475402,0.27262736884133987,-0.22382292142010485
sub-42,msit,-0.21454113217978188,0.9034651459451946,-1.236425535526183,1.173683380312912,-0.8208088143606748,0.4782525162490535,0.802511309047056
sub-42,sternberg,0.10533152668520124,-0.5797909216705994,0.49301068859058716,-0.34351591385711194,-0.4771964562907508,-0.21939908461693036,-0.39571032507969944
sub-43,msit,2.106766336493984,-0.7792686168353258,2.346460155454028,-0.7716875799273529,-0.8166570506606476,-0.5233635902468367,-0.7075598650874658
sub-43,sternberg,2.0054212129610924,-0.6817600991834778,1.8877652796801079,-1.5415431207022188,-0.41694534457166094,-0.9033839430605958,-1.1774553134226806
sub-44,msit,0.9953755526230239,-1.033115811050259,1.794134349307511,-1.26982235456313,0.4667426128753198,-0.1686635642925981,0.3161515615389726
sub-44,sternberg,6.725852770435303e-05,0.3862738615411334,-0.22694493362057655,-0.11268115990657696,0.4561198083750745,-0.26840032160832106,-0.4707018179547142
sub-45,msit,0.12491550591499599,-0.493125647473006,0.3316228744372982,-0.5130985306204493,-0.2083253269825633,-1.6507247038390274,-0.951358258189626
sub-45,sternberg,-0.9615059909774395,-0.5771917145346374,-0.5185000638477757,-0.0001890832071681503,0.47610736360024997,-1.2746219345089294,-1.5549165660117799
sub-46,msit,0.5985184482416226,1.213370129146517,-0.2521588675290122,1.958119639351469,-0.40852623465672455,1.8004193181005206,1.1869971498797542
sub-46,sternberg,-0.033824278193614665,-0.7864714577135654,0.6269118107081018,-0.7585036519498969,0.16310625848415716,-0.6137058971434607,-1.1803002980950845
sub-47,msit,0.07064128943808111,-1.2494927549474566,0.8506137897184385,-0.9079655197771512,1.2248755207000692,0.09005425942106215,0.14340052066245618
sub-47,sternberg,-0.15789056226841225,-0.8030914096897113,0.34362028316206816,0.03205792842604638,0.7166746290340315,-0.9565271368814935,-1.0293484367508192
sub-48,msit,0.3207618295805083,-0.09209117998219613,0.2891970987143656,1.319373352358885,0.5035309036268935,-0.5177794933452159,-0.4896326756316972
