row_id,subject,session,speed_mean,theta_power,theta_frequency,theta_amp_cv,theta_cycle_duration_sd,raw_firing_rate,population_event_rate,active_units,events_per_cycle_mean,events_per_cycle_sd,events_per_cycle_q25,events_per_cycle_median,events_per_cycle_q75,frac_cycles_ge2,phase_sin,phase_cos,phase_R,phase_entropy8,population_isi_cv,cycle_phase_R_mean,cycle_phase_R_sd,cycle_phase_entropy8_mean,cycle_phase_entropy8_sd,cycle_pairdist_mean,cycle_pairdist_sd,cycle_gap_cv_mean,cycle_gap_cv_sd,cycle_occ32_mean,cycle_occ32_sd,n_ca1_pyramidal,n_theta_cycles,n_phase_events,lfp_source,tma_mean_d4,tma_sd_d4,tma_mean_d5,tma_sd_d5,tma_mean_d6,tma_sd_d6
M05_20240731:114,M05,M05_20240731,10.939554659813082,1.776877658131806e-08,8.423586040914001,0.4008582830429077,0.015660995543425912,85.7,81.9,34,9.714285714285714,3.8136452175175743,7.0,10.0,12.0,1.0,0.006296838827567454,-0.024514650143454855,0.02531043758761101,0.9984086634680682,1.0878141947989635,0.3259130249332549,0.19647258008128718,0.7509199903790249,0.14498717212119452,0.24657696734777074,0.03877443048485172,0.9097504182063114,0.30478421712976006,0.8961233364649992,0.10347974341639934,57,84,819,Best_Ripple_channel_LFP_CA1,0.9956169978363063,0.12019475486977282,1.0040237925986237,0.10901705804457869,1.0073922600721634,0.09363539189130293
M05_20240731:115,M05,M05_20240731,1.6234091769982903,1.516352089789835e-08,8.835341365462622,0.4164690673351288,0.018206065336806118,101.2,95.2,42,10.784090909090908,4.46299951616575,7.75,11.0,13.0,1.0,0.0409262448836312,-0.02241999729298848,0.0466649097169657,0.9979885679656939,1.0406683582142242,0.29779812913862985,0.16008210545282717,0.7791093559661678,0.12429610542147373,0.2503358013237332,0.028139886685866956,0.9141399779880139,0.2957298330348127,0.886732220859843,0.10268256489800155,57,88,952,Best_Ripple_channel_LFP_CA1,1.0033166109321259,0.10700744110147525,1.0109504414311976,0.0958064804358027,1.0163731685796416,0.08081699785268506
M05_20240731:116,M05,M05_20240731,10.472142680460514,1.3219249958311468e-08,8.093525179855533,0.5081384181976318,0.01762952069684252,85.2,76.3,41,9.419753086419753,4.737784813419833,6.0,9.0,13.0,0.9753086419753086,0.014267049761816988,-0.19685854523651392,0.19737486045984368,0.9805045635526398,1.401493894229905,0.42412619603819723,0.2114888978453505,0.7022728087023269,0.17497035464661065,0.2338514562498971,0.059336899991212326,1.0234361209623635,0.4115284647964532,0.8821423726565397,0.10075356250525491,57,81,763,Best_Ripple_channel_LFP_CA1,0.9687027719529618,0.13214560812496745,0.9788645962876956,0.11543666153544857,0.9876480340078896,0.09681826500984536
M05_20240731:117,M05,M05_20240731,0.8949956453357775,1.4165852290594884e-08,8.610332398878409,0.4226185083389282,0.01791428138180841,74.0,71.7,42,8.36046511627907,3.5839931417268756,6.25,8.0,10.0,1.0,0.010952624915581795,-0.022631934699476563,0.02514288091652972,0.9989892413115847,1.0783340901742946,0.3540978155881898,0.21467654924991317,0.7266963993506642,0.141719611369362,0.24338232145870223,0.043527355241607064,0.9179990585662409,0.294810804684486,0.921024631053701,0.08446281625856386,57,86,711,Best_Ripple_channel_LFP_CA1,1.0018893288886546,0.10651211885877664,1.0101606732320585,0.09517269735010253,1.0120401874458282,0.08317317500051102
M05_20240731:118,M05,M05_20240731,10.347375988713422,1.6147623190278566e-08,8.732737611697846,0.39775940775871277,0.017376619982787254,99.8,95.2,39,10.86046511627907,4.6047617060339885,8.0,10.0,13.0,1.0,0.021476435682019183,0.03754679548434817,0.04325504757536829,0.9965613253778315,1.042426968764362,0.30267232714815934,0.1859654190149345,0.7911496884593695,0.13679375115296188,0.24647490671186464,0.031006395454626717,0.9057694094040101,0.27119713818768043,0.892593357804586,0.09460320649109648,57,86,943,Best_Ripple_channel_LFP_CA1,1.0149789896831931,0.1128653325860683,1.022524083472055,0.10389057817476065,1.0268631081507213,0.08826978766432014
M05_20240731:119,M05,M05_20240731,3.937327421923347,1.901269508174104e-08,8.824709185720236,0.4229106605052948,0.016304251934344757,114.1,105.7,44,12.034090909090908,5.833807265416929,8.0,11.0,15.0,0.9886363636363636,-0.0010706641119323324,-0.0030691711179323105,0.0032505588737522842,0.9987538725937902,1.1756539095111138,0.26577256722695985,0.15205786005695732,0.8048854042013709,0.13373914600004688,0.25359550801850284,0.023405224385079915,0.862518117135429,0.21050078444919693,0.8951203908605868,0.09553047136341344,57,88,1057,Best_Ripple_channel_LFP_CA1,1.0262759753358757,0.08742379818986579,1.0366820522262914,0.0761029118803532,1.0385748557133685,0.06647480820606037
M05_20240731:120,M05,M05_20240731,9.122498701793416,1.276818284144269e-08,8.412509897071,0.39936861395835876,0.021492960218034034,86.1,80.4,46,9.494117647058824,4.777485714044487,6.0,9.0,13.0,0.9882352941176471,-0.012187683616973718,-0.04686922413069532,0.04842792378949155,0.9968644068436102,1.3138453544869404,0.38765765042850153,0.20529597065914987,0.726035848281172,0.17436007961195843,0.23597316824677306,0.04545028721982411,0.9495067082048446,0.30792374899114694,0.9162660354596998,0.09463179636982515,57,85,804,Best_Ripple_channel_LFP_CA1,0.9842917011537468,0.11951642414634867,1.0004767055243748,0.10206147185359471,1.006992052396402,0.08576515337536038
M05_20240731:121,M05,M05_20240731,1.3373338818479878,2.0178212140691757e-08,8.4,0.3670465350151062,0.015229888782747524,71.1,68.3,38,8.202380952380953,4.230639137976365,4.75,8.0,11.0,0.9880952380952381,0.0035234705998576925,-7.393247592621173e-05,0.0035242461717448323,0.9991683251020644,1.0990987281084414,0.3363560890014869,0.20960114463132687,0.703585195087796,0.1882321812899846,0.25277837864277364,0.05110865168066779,0.8701606647802401,0.2875918836423245,0.926772296320769,0.08903960913625357,57,84,683,Best_Ripple_channel_LFP_CA1,1.0057144302635888,0.11591307644828149,1.0135297855482845,0.09404008345856744,1.0155137152413278,0.07887276877261114
M05_20240731:122,M05,M05_20240731,10.710608743243268,1.4157262502782434e-08,8.558195730969999,0.4253988564014435,0.01854820353409919,114.4,105.5,40,12.282352941176471,6.005179836936574,8.0,12.0,16.0,1.0,0.027903752173204326,-0.002928615905362963,0.028057016528218928,0.9991916619290524,1.2209360783236731,0.28072843898123256,0.1595961744018402,0.7792577694089226,0.1519980331811101,0.25287054917481033,0.025756569802128062,0.8842669380847404,0.29444149375427486,0.8780375783100517,0.10187437668180618,57,85,1055,Best_Ripple_channel_LFP_CA1,1.0030529172560267,0.10298604570329269,1.0159711282016795,0.09541171874285065,1.0199675397021013,0.086485854307176
M05_20240731:123,M05,M05_20240731,8.220904881418486,1.7462155690441653e-08,8.757961783439686,0.40101176500320435,0.013627680969560352,95.7,90.5,37,10.340909090909092,5.185936693977222,6.75,9.5,13.0,1.0,0.04355832667689493,-0.08498103221773634,0.09549399802963031,0.9944050191215746,1.086580572039828,0.31596825996813127,0.18752341270277728,0.7640887595147571,0.16582913130719668,0.24949134669646297,0.037980941986427236,0.8876731668146906,0.29845830924257183,0.8968075131110195,0.10151514536443579,57,88,905,Best_Ripple_channel_LFP_CA1,1.0124788296720921,0.11883183590569393,1.0188555295803798,0.10529976545680547,1.022009556270421,0.08806649625047681
M05_20240731:124,M05,M05_20240731,13.369668318241601,2.0709744307022655e-08,8.421266233766433,0.48795491456985474,0.01904989813276679,89.9,85.4,34,10.168674698795181,4.984902271978991,6.0,10.0,13.5,1.0,-0.05211423382889619,-0.05070277232781876,0.07270945254435279,0.9948170016438859,1.1648841890411432,0.3471103713787191,0.18778342242109053,0.7369527272634606,0.15679429433856648,0.2440335577138514,0.039940135723727684,0.9082051827352791,0.2855279328995063,0.887115853865007,0.10807418706791781,57,83,846,Best_Ripple_channel_LFP_CA1,0.9823487917433275,0.11113247902221916,0.9922905785826575,0.09773930670745144,0.9987565411503371,0.0839331334607145
