subject,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
sub-0081,-1.0217666607586873,-0.01634007705708677,-0.9073540770091745,0.45681035891296323,0.20510296750035706,0.19105271658393572,0.18332934051121827
sub-0082,-0.20823581982131223,0.816576777446096,-0.5992026948077293,1.2286464283113798,0.7259484426656071,-0.34817867849850054,-0.3093328056978879
sub-0083,0.09292611493754839,0.18540721932125034,0.020055526526607137,-0.10331065616848349,-0.215322702929291,0.27631284869767936,0.1072736747486045
sub-0084,0.6456805574060022,0.528906700800503,0.335987847885125,-0.1392704844142172,-0.1729199334698899,0.07087652040404313,0.23098417462718449
sub-0085,-0.1796063559498783,-0.4728570132725017,-0.03311647037156865,-0.8565748085751498,-0.19351453387388565,-0.6640787319477263,-0.8219943130505576
sub-0086,-0.05577360593880076,-0.02802086237954667,-0.007916585015458352,-0.36303867485548763,-0.6362061882340727,-1.0963253166456826,-1.2882081532830303
sub-0087,-0.4727324368401513,1.2278598134381828,-0.8652424584270283,0.49439480597255253,-0.34144495514757883,0.42127079322783967,0.0891507173114086
sub-0088,-0.6284403985302746,0.9697106205289625,-0.847591141276184,0.6469396547025444,0.45908319002925957,0.35059998101115664,0.682256234806096
sub-0089,-0.5544504381640654,-0.28805493416966493,-0.32779059773188046,-0.4915495097762943,0.12849104005922155,0.4166281713547219,0.271109549908184
sub-0090,-0.5644819960731093,0.5415833055439142,-0.6323251339246343,0.36934129299513946,0.5464235416862565,0.3795068706731426,0.3508522847322632
sub-0091,0.6903257668918035,0.8192402801780448,0.2689933447560587,-0.1127503586815144,-0.6006583803391768,0.6991424334595555,0.6701983067676042
sub-0092,0.04844439765972508,-0.028453550032759272,0.01760807413777088,0.47472906133062603,-0.017949114744546673,0.25301653554742837,0.19937516742616768
sub-0093,0.43309621798570647,-0.19784359591422862,0.44506168575800337,-0.2406062570084434,1.0148873202958602,0.18316944388891954,0.3135801415491761
sub-0094,-0.23125158454717787,-0.21786665288505655,-0.05899665229539194,-0.02827074574427228,0.4311304481217177,1.0129243070052405,0.9484153629684933
sub-0095,-0.45671688631116303,-0.11203370805078373,-0.33480774355232584,-0.004553073839326016,0.8211088235812108,0.3206549422275447,0.3552440259522834
sub-0098,-0.5671364110657322,-0.5906908232688268,-0.27213558881189426,-0.5196876288920872,-0.8592709291756263,0.21268116893845335,-0.0031278678147520314
sub-0099,-0.5248427623377997,0.1330810421923694,-0.5134488327499813,0.16716085188540555,0.6863407605360244,-1.5801368795842288,-1.4104775351862582
sub-0100,0.48725021983683003,1.46159912410666,-0.2004256460809358,0.8036990502946408,-0.6819770094870817,0.716334114994439,0.600738350464667
sub-0101,0.30513406378780605,1.2773402037398707,-0.12369743902563735,0.9006752113221346,-0.6177973303377599,1.1823017350317615,0.9703236359304713
sub-0102,-1.1317931100622383,-0.19524752067439868,-0.8456317185260144,0.10009927417927884,0.12354289384363117,0.5680715719376149,0.3216206480376309
sub-0103,-0.06282752172238999,0.5607877644487874,-0.2768131096465412,0.5813229939561112,0.29702607851957946,-0.018588762605746895,-0.21500393502757742
sub-0104,-0.46298666349375095,0.24548794158856171,-0.45859708492384216,0.3638155179473501,0.16146437904864583,0.13976161952829932,0.4385000781633182
sub-0105,0.2984900688232461,0.3459894979749585,0.06168643367140655,0.08299919830324888,0.0603525089605474,0.8729768274489657,0.6133996932582785
sub-0106,-0.31760513596032686,-0.4503254996702027,-0.06515193258966352,-0.8148408161343422,-0.6028451246559589,0.3085375243240524,0.45990675398100955
sub-0107,-0.4145297767995519,-0.714321073842271,-0.1112305654377917,-0.16455828210806653,0.37310191149689925,0.03864626442824911,-0.02954168647312801
sub-0109,-0.3139753726937576,-0.9036375620066329,0.029759039850182245,-0.5359955287495838,1.0881345716074888,0.2805380380533467,0.18220984606419144
sub-0111,-0.15953668632693388,-0.6059714025565239,0.21074200855800165,-0.6297992164318759,-1.0924133701925118,0.13689543298229248,0.011271193175380353
sub-0112,0.002779100905272965,1.036422930494291,-0.38520777068297574,0.7494543113163928,-0.5813608830548033,0.5223689371379471,0.19430586735112865
sub-0114,0.5671274707782795,-0.12283156669869666,0.559140300893396,-0.2510310086785115,0.3399015765435723,-0.3315156466478372,-0.40534772239107203
sub-0115,-0.18850079331976713,1.506897531167039,-0.8819339371522258,1.3683294519807039,-0.5119392134873938,0.6908275690791426,0.9064160676240185
sub-0116,0.7760780497157173,-0.9589652513874578,1.0744773875095175,-1.1145998088774638,0.5835268498313735,-1.6672080034166101,-1.446646101206944
sub-0118,0.2860683714658103,-0.9208108632025059,0.6250864965182751,-1.0781388439142021,-0.26300965557320233,-0.6663091638836091,-0.6861477555964273
sub-0122,0.7039781268953883,0.13253311894797218,0.6242523554350718,-0.2638937306322006,-1.3219308387507096,1.0804307677660105,1.2474560571496396
sub-0123,-0.02537428641310439,-0.15913478074761891,0.004443283545968642,0.0023543912981947718,1.1102260728229312,-0.05262684979290647,-0.10282759230519957
sub-0124,0.49791790779578987,-0.2336741167563445,0.48988180490133887,-0.11270338632714529,0.3419528164182654,0.4516546214995019,0.49619408951632815
sub-0126,0.2233995206789019,0.3277650227759596,-0.037164750842243986,0.2613770608250748,-0.04194765450116796,-0.0831722364169822,-0.01973140393822173
sub-0127,0.3631649031870127,0.07878006889762236,0.11692211067112224,0.15585766009849134,0.2601287346508755,0.3780377823916122,0.33089124227329186
sub-0128,-0.4919255164354177,0.3469697950903627,-0.4591291910273287,0.21647820294903233,0.22334436673368277,0.9073868364987772,0.5755634575029586
sub-0129,0.7570410629604775,-1.57840101428413,1.250999562247934,-1.6410792368627751,0.3153118572576267,2.1456986511473803,2.457140886129491
sub-0130,-0.3181529321665816,0.1575840291760439,-0.24007722120281538,0.6152375108056612,0.8644006735846329,0.39959377983309,0.3388264868152173
sub-0131,0.6320971646990606,0.0926424236718461,0.6719590983506237,0.1939895733678485,-1.3935828286068654,-0.3689927375208308,-0.43786194646457305
sub-0132,-0.5021810424679666,0.5506873982695942,-0.8346277048364311,0.5155348354117499,0.2926233742423428,-0.6721046153888878,-0.5297922548796353
sub-0133,1.1325426541409753,-0.8389606706917084,1.2301956266903307,-0.4602363320306014,1.0429441392649466,-0.2849291807254037,0.03618899073421641
