participant_id,condition,frontend,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,tree_ascending_fraction,occ_L1,occ_L2,occ_L3,occ_L4,occ_L5,occ_L6,occ_L7,occ_L8,occ_L9,occ_L10,occ_L11,occ_L12
sub-079,walk,theta_global,9.416666666666666,1.0598058340078627,1.0,0.0,9.416666666666666,1.0598058340078627,0.0,0.16666666666666666,1.0,2.0,1.8095238095238095,0.6242559523809523,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.25,0.4166666666666667,0.125,0.0
sub-079,walk,alpha_global,8.958333333333334,1.4288690166235205,1.0,0.0,8.958333333333334,1.4288690166235205,0.0,0.25,0.5,2.0,1.7142857142857142,0.6026785714285714,0.125,0.5714285714285714,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.375,0.2916666666666667,0.08333333333333333,0.0
sub-079,walk,beta_global,9.5,1.103354568734741,1.0,0.0,9.5,1.103354568734741,0.0,0.16666666666666666,0.5,1.5,1.4545454545454546,0.4522372159090909,0.08333333333333333,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.3333333333333333,0.20833333333333334,0.25,0.0
sub-079,walk,mu_central,9.208333333333334,1.3180739131701644,1.0,0.0,9.208333333333334,1.3180739131701644,0.0,0.2916666666666667,0.42857142857142855,1.7142857142857142,1.8181818181818181,0.6017400568181818,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.041666666666666664,0.25,0.4583333333333333,0.08333333333333333,0.0
sub-079,walk,beta_central,9.208333333333334,1.6145847942957394,1.0,0.0,9.208333333333334,1.6145847942957394,0.0,0.16666666666666666,0.5,2.25,1.5217391304347827,0.5146059782608695,0.041666666666666664,0.4782608695652174,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.125,0.3333333333333333,0.25,0.20833333333333334,0.0
sub-080,rest,theta_global,9.125,1.4540049638094805,1.0,0.0,9.125,1.4540049638094805,0.0,0.20833333333333334,0.8,2.2,2.608695652173913,0.9138926630434783,0.041666666666666664,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.125,0.4166666666666667,0.125,0.0
sub-080,rest,alpha_global,9.0,1.3831281496162493,1.0416666666666667,0.2041241452319315,8.958333333333334,1.4884823513044847,0.041666666666666664,0.3333333333333333,0.375,2.125,1.8,0.5984375,0.16666666666666666,0.6,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.125,0.2916666666666667,0.4166666666666667,0.041666666666666664,0.0
sub-080,rest,beta_global,9.375,1.1726039399558574,1.0,0.0,9.375,1.1726039399558574,0.0,0.16666666666666666,0.25,1.25,1.45,0.4482421875,0.16666666666666666,0.3,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.25,0.5,0.08333333333333333,0.0
sub-080,rest,mu_central,9.125,1.3290238326779873,1.0,0.0,9.125,1.3290238326779873,0.0,0.3333333333333333,0.375,1.75,1.2857142857142858,0.3989955357142857,0.125,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.25,0.25,0.25,0.16666666666666666,0.0
sub-080,rest,beta_central,9.375,0.8242255917447338,1.0,0.0,9.375,0.8242255917447338,0.0,0.16666666666666666,0.75,1.75,1.5454545454545454,0.5204190340909091,0.08333333333333333,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.4583333333333333,0.3333333333333333,0.08333333333333333,0.0
sub-080,walk,theta_global,8.541666666666666,1.7932037558919307,1.0416666666666667,0.2041241452319315,8.5,1.9110661718118183,0.041666666666666664,0.20833333333333334,1.0,3.2,1.65,0.5345703125,0.16666666666666666,0.55,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.08333333333333333,0.4166666666666667,0.125,0.125,0.0
sub-080,walk,alpha_global,9.208333333333334,1.3824731042801415,1.0,0.0,9.208333333333334,1.3824731042801415,0.0,0.25,0.8333333333333334,2.1666666666666665,1.7142857142857142,0.5282738095238095,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.125,0.375,0.16666666666666666,0.0
sub-080,walk,beta_global,9.041666666666666,1.2676293062133797,1.0,0.0,9.041666666666666,1.2676293062133797,0.0,0.2916666666666667,0.5714285714285714,1.8571428571428572,1.8636363636363635,0.6708096590909091,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.2916666666666667,0.3333333333333333,0.08333333333333333,0.0
sub-080,walk,mu_central,8.958333333333334,1.3981094896064241,1.0,0.0,8.958333333333334,1.3981094896064241,0.0,0.25,0.8333333333333334,2.6666666666666665,1.8,0.5478515625,0.16666666666666666,0.55,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.20833333333333334,0.25,0.3333333333333333,0.08333333333333333,0.0
sub-080,walk,beta_central,9.0,1.4744195615489712,1.0,0.0,9.0,1.4744195615489712,0.0,0.20833333333333334,0.8,3.0,1.5454545454545454,0.5060369318181818,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.08333333333333333,0.20833333333333334,0.4166666666666667,0.08333333333333333,0.0
sub-081,rest,theta_global,8.791666666666666,1.5597983890531346,1.0416666666666667,0.2041241452319315,8.75,1.6746187106583268,0.041666666666666664,0.20833333333333334,1.0,2.6,1.9,0.6125,0.16666666666666666,0.55,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.16666666666666666,0.20833333333333334,0.3333333333333333,0.08333333333333333,0.0
