condition,frontend,feature,clinical,n,rho,p,q_global
rest,theta_global,occ_L8,updrs_total,113,0.03019683113679791,0.7508641742033468,0.9930135882425856
rest,theta_global,occ_L8,moca,113,-0.02758105502905695,0.7718270056271511,0.9930135882425856
rest,theta_global,occ_L8,disease_duration,116,-0.04524886674387128,0.6295824856353611,0.9930135882425856
rest,theta_global,occ_L8,ledd,115,-0.046146210829266905,0.6243334899818652,0.9930135882425856
rest,theta_global,occ_L8,pigd_score,113,0.10184950650716583,0.2830775833241316,0.9930135882425856
rest,theta_global,occ_L8,td_score,113,0.04729503343551962,0.6188776220992745,0.9930135882425856
rest,theta_global,occ_L8,ctt,109,0.015452684625171556,0.8732904656279163,0.9933431919635606
rest,theta_global,occ_L9,updrs_part_iii,113,0.026194460931963034,0.7830072553843295,0.9930135882425856
rest,theta_global,occ_L9,updrs_total,113,0.01798749145174865,0.850015262611545,0.9930135882425856
rest,theta_global,occ_L9,moca,113,-0.01755062681737597,0.8536168629227102,0.9930135882425856
rest,theta_global,occ_L9,disease_duration,116,-0.034894651118964067,0.7099895646640322,0.9930135882425856
rest,theta_global,occ_L9,ledd,115,-0.05615070426259515,0.5511473739406695,0.9930135882425856
rest,theta_global,occ_L9,pigd_score,113,-0.0537212550697307,0.5719896772284853,0.9930135882425856
rest,theta_global,occ_L9,td_score,113,0.005681955493104679,0.9523715341445964,0.9971683422099584
rest,theta_global,occ_L9,ctt,109,0.010567864832980174,0.9131526922852817,0.9958760007869497
rest,theta_global,occ_L10,updrs_part_iii,113,-0.09020869568174014,0.3420062499887339,0.9930135882425856
rest,theta_global,occ_L10,updrs_total,113,-0.08470501838292367,0.372382378855224,0.9930135882425856
rest,theta_global,occ_L10,moca,113,0.03422085762228668,0.7189716723445871,0.9930135882425856
rest,theta_global,occ_L10,disease_duration,116,0.06905899942868382,0.46135756547353857,0.9930135882425856
rest,theta_global,occ_L10,ledd,115,0.08659614685869906,0.357454872519052,0.9930135882425856
rest,theta_global,occ_L10,pigd_score,113,-0.019393312886211697,0.838446682722337,0.9930135882425856
rest,theta_global,occ_L10,td_score,113,0.01625893146702424,0.8642832028639796,0.9930135882425856
rest,theta_global,occ_L10,ctt,109,-0.11061430346506729,0.2521880543116827,0.9738635887581278
rest,theta_global,occ_L11,updrs_part_iii,113,-0.012245781241289553,0.8975697988428721,0.9958760007869497
rest,theta_global,occ_L11,updrs_total,113,0.014189640097738989,0.8814208110747042,0.9958760007869497
rest,theta_global,occ_L11,moca,113,0.09959732716759631,0.2939136982037012,0.9930135882425856
rest,theta_global,occ_L11,disease_duration,116,-0.08725298624448241,0.35167560459045366,0.9930135882425856
rest,theta_global,occ_L11,ledd,115,-0.014375594319666072,0.8788045459971202,0.9958760007869497
rest,theta_global,occ_L11,pigd_score,113,-0.06604928124145008,0.48701365288594806,0.9930135882425856
