condition,feature,n,spearman_rho,p,q_fdr
early_gradual,occ_L4,30,-0.0599237432571543,0.7531016458657163,0.9575821860017631
early_gradual,occ_L5,30,0.048383615251150605,0.7995759713096122,0.9575821860017631
early_gradual,occ_L6,30,-0.021791535404421206,0.9090009139942843,0.9575821860017631
early_gradual,occ_L7,30,-0.10965565128227395,0.5640529708546207,0.9575821860017631
early_gradual,occ_L8,30,0.05323323390823963,0.7799538512695097,0.9575821860017631
early_gradual,occ_L9,30,0.01484375,0.9379457727601962,0.9575821860017631
early_gradual,occ_L10,30,0.199394942927903,0.2907952089595653,0.9575821860017631
early_gradual,occ_L11,30,0.1516806631145809,0.42363359895577934,0.9575821860017631
late_gradual,mean_H,30,-0.11103686999089904,0.5591242202885753,1.0
late_gradual,sd_H,30,-0.16129032258064516,0.39450240707300044,1.0
late_gradual,mean_D,30,-0.047077517471939834,0.8048816404306297,1.0
late_gradual,sd_D,30,-0.09736079746210083,0.6087724698931398,1.0
late_gradual,mean_lambda,30,-0.11635677117787893,0.5403277060183208,1.0
late_gradual,sd_lambda,30,-0.11679644048943269,0.538787726926442,1.0
late_gradual,multilevel,30,-0.09184024832506164,0.6293247398644538,1.0
late_gradual,pivot_rate,30,0.09732227162812064,0.6089149134866918,1.0
late_gradual,compound_pivot_fraction,30,0.14712804933161994,0.43783877039788044,1.0
late_gradual,pivot_depth,30,-0.12059183521056235,0.5255811891084083,1.0
late_gradual,tree_span_events,30,0.03382663868721222,0.8591518165908485,1.0
late_gradual,tree_span_time,30,0.07452725250278086,0.6954997391980633,1.0
late_gradual,tree_root_fraction,30,-0.06113148291644097,0.7482833553938538,1.0
late_gradual,tree_ascending_fraction,30,0.011800067450873815,0.9506525440185938,1.0
late_gradual,occ_L2,30,,,
late_gradual,occ_L3,30,0.0,1.0,1.0
late_gradual,occ_L4,30,-0.02521375370053924,0.8947833540619626,1.0
late_gradual,occ_L5,30,-0.060665278645977525,0.7501421924083436,1.0
late_gradual,occ_L6,30,-0.004005838462349748,0.983238784698913,1.0
late_gradual,occ_L7,30,-0.04310344827586206,0.8210766088013071,1.0
late_gradual,occ_L8,30,-0.14284958487799004,0.45142113723519667,1.0
late_gradual,occ_L9,30,-0.020462938170604763,0.9145282282561494,1.0
late_gradual,occ_L10,30,0.05258447606466672,0.7825714189067309,1.0
late_gradual,occ_L11,30,0.05834942476989813,0.7593960549213515,1.0
