subject,condition,modality,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,tree_ascending_fraction,occ_L1,occ_L2,occ_L3,occ_L4,occ_L5,occ_L6,occ_L7,occ_L8,occ_L9,occ_L10,occ_L11,occ_L12
S34,late_abrupt,eeg,9.583333333333334,1.2128538629008951,1.0,0.0,9.583333333333334,1.2128538629008951,0.0,0.25,0.5,1.6666666666666667,1.5238095238095237,0.5096726190476191,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.20833333333333334,0.4166666666666667,0.20833333333333334,0.0
S34,early_gradual,gait,9.25,1.3593476696403028,1.0,0.0,9.25,1.3593476696403028,0.0,0.20833333333333334,1.0,2.2,1.6666666666666667,0.5191592261904762,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.20833333333333334,0.16666666666666666,0.2916666666666667,0.20833333333333334,0.0
S34,early_gradual,eeg,9.083333333333334,1.2128538629008951,1.0,0.0,9.083333333333334,1.2128538629008951,0.0,0.25,0.5,2.0,1.9047619047619047,0.6491815476190477,0.125,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.4166666666666667,0.20833333333333334,0.125,0.0
S34,late_gradual,gait,9.416666666666666,1.2481870911416901,1.0,0.0,9.416666666666666,1.2481870911416901,0.0,0.20833333333333334,0.2,1.6,1.8095238095238095,0.6015625,0.125,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.16666666666666666,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.0
S34,late_gradual,eeg,8.916666666666666,1.909169331471644,1.0,0.0,8.916666666666666,1.909169331471644,0.0,0.2916666666666667,0.7142857142857143,3.142857142857143,2.0,0.6774553571428571,0.125,0.5238095238095238,0.0,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.16666666666666666,0.20833333333333334,0.375,0.125,0.0
S35,baseline,gait,8.833333333333334,1.3726099121798927,1.0,0.0,8.833333333333334,1.3726099121798927,0.0,0.25,0.8333333333333334,2.5,1.5714285714285714,0.5091145833333334,0.125,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.16666666666666666,0.25,0.2916666666666667,0.08333333333333333,0.0
S35,baseline,eeg,9.416666666666666,0.7755316082290385,1.0,0.0,9.416666666666666,0.7755316082290385,0.0,0.16666666666666666,0.25,1.25,1.7391304347826086,0.5757472826086957,0.041666666666666664,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.4583333333333333,0.041666666666666664,0.0
S35,early_abrupt,gait,9.375,1.4084373085707127,1.0416666666666667,0.2041241452319315,9.333333333333334,1.578845661611168,0.041666666666666664,0.16666666666666666,0.75,2.5,1.6363636363636365,0.5688920454545454,0.08333333333333333,0.36363636363636365,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.125,0.0
S35,early_abrupt,eeg,9.083333333333334,1.5298953265321544,1.0416666666666667,0.2041241452319315,9.041666666666666,1.6544844636864109,0.041666666666666664,0.25,0.6666666666666666,2.1666666666666665,1.65,0.569921875,0.16666666666666666,0.55,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.20833333333333334,0.3333333333333333,0.16666666666666666,0.20833333333333334,0.0
S35,late_abrupt,gait,9.083333333333334,1.501207243656184,1.0,0.0,9.083333333333334,1.501207243656184,0.0,0.20833333333333334,0.8,2.6,2.1818181818181817,0.73828125,0.08333333333333333,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.041666666666666664,0.25,0.375,0.125,0.0
S35,late_abrupt,eeg,9.166666666666666,1.2394482175782782,1.0,0.0,9.166666666666666,1.2394482175782782,0.0,0.25,0.6666666666666666,2.1666666666666665,1.5238095238095237,0.5247395833333334,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.125,0.2916666666666667,0.4583333333333333,0.041666666666666664,0.0
S35,early_gradual,gait,8.75,1.6218615177038684,1.25,0.6756639246921762,8.5,2.206709137469482,0.125,0.25,0.8333333333333334,3.1666666666666665,1.619047619047619,0.5172991071428571,0.125,0.5238095238095238,0.0,0.0,0.08333333333333333,0.125,0.125,0.041666666666666664,0.041666666666666664,0.125,0.375,0.25,0.08333333333333333,0.0
S35,early_gradual,eeg,9.083333333333334,1.4116492564332,1.0,0.0,9.083333333333334,1.4116492564332,0.0,0.20833333333333334,0.8,2.8,1.8571428571428572,0.6430431547619048,0.125,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.25,0.3333333333333333,0.125,0.0
S35,late_gradual,gait,9.5,1.179535649239177,1.0,0.0,9.5,1.179535649239177,0.0,0.16666666666666666,1.0,2.25,1.7272727272727273,0.5845170454545454,0.08333333333333333,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.25,0.5,0.125,0.0
S35,late_gradual,eeg,9.166666666666666,1.2394482175782784,1.0,0.0,9.166666666666666,1.2394482175782784,0.0,0.2916666666666667,0.8571428571428571,2.2857142857142856,1.8095238095238095,0.5859375,0.125,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.25,0.25,0.16666666666666666,0.0
S36,baseline,gait,9.083333333333334,1.2128538629008951,1.0,0.0,9.083333333333334,1.2128538629008951,0.0,0.25,0.5,1.8333333333333333,1.7272727272727273,0.5674715909090909,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.3333333333333333,0.25,0.125,0.0
S36,baseline,eeg,9.333333333333334,1.3405601251996728,1.0,0.0,9.333333333333334,1.3405601251996728,0.0,0.20833333333333334,0.2,1.4,1.6956521739130435,0.540421195652174,0.041666666666666664,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.125,0.125,0.5,0.125,0.0
S36,early_abrupt,gait,9.333333333333334,1.551063216458077,1.0416666666666667,0.2041241452319315,9.291666666666666,1.6805580508625224,0.041666666666666664,0.25,0.6666666666666666,2.1666666666666665,1.9523809523809523,0.6908482142857143,0.125,0.42857142857142855,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.125,0.041666666666666664,0.20833333333333334,0.375,0.20833333333333334,0.0
S36,early_abrupt,eeg,9.166666666666666,1.372609912179893,1.0,0.0,9.166666666666666,1.372609912179893,0.0,0.3333333333333333,0.75,2.125,1.8095238095238095,0.5779389880952381,0.125,0.6190476190476191,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.4166666666666667,0.08333333333333333,0.0
S36,late_abrupt,gait,9.25,1.5108304655560048,1.0,0.0,9.25,1.5108304655560048,0.0,0.20833333333333334,0.8,2.6,1.5238095238095237,0.5182291666666666,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.125,0.20833333333333334,0.25,0.25,0.0
S36,late_abrupt,eeg,9.458333333333334,1.1025333147551268,1.0,0.0,9.458333333333334,1.1025333147551268,0.0,0.16666666666666666,0.5,2.0,1.3636363636363635,0.4357244318181818,0.08333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.4583333333333333,0.125,0.0
S36,early_gradual,gait,9.166666666666666,0.9168313422570847,1.0,0.0,9.166666666666666,0.9168313422570847,0.0,0.25,0.3333333333333333,1.3333333333333333,1.5909090909090908,0.5330255681818182,0.08333333333333333,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4166666666666667,0.25,0.08333333333333333,0.0
S36,early_gradual,eeg,9.333333333333334,1.4039282363260677,1.0,0.0,9.333333333333334,1.4039282363260677,0.0,0.25,0.5,2.0,2.3181818181818183,0.7590553977272727,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.375,0.16666666666666666,0.0
S36,late_gradual,gait,8.875,1.3929168644626095,1.0,0.0,8.875,1.3929168644626095,0.0,0.2916666666666667,0.5714285714285714,2.142857142857143,1.9047619047619047,0.6300223214285714,0.125,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.2916666666666667,0.2916666666666667,0.08333333333333333,0.0
S36,late_gradual,eeg,9.125,1.596531566702726,1.0,0.0,9.125,1.596531566702726,0.0,0.2916666666666667,0.2857142857142857,1.7142857142857142,2.0,0.5995163690476191,0.125,0.5714285714285714,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.16666666666666666,0.25,0.375,0.125,0.0
S37,baseline,gait,9.0,1.7693034738587656,1.0833333333333333,0.408248290463863,8.916666666666666,2.041241452319315,0.041666666666666664,0.25,0.8333333333333334,2.5,1.7619047619047619,0.6030505952380952,0.125,0.5714285714285714,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.16666666666666666,0.0,0.20833333333333334,0.4166666666666667,0.125,0.0
S37,baseline,eeg,9.125,1.2958965337120694,1.0,0.0,9.125,1.2958965337120694,0.0,0.25,0.5,1.5,1.826086956521739,0.6034307065217391,0.041666666666666664,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.20833333333333334,0.25,0.25,0.16666666666666666,0.0
S37,early_abrupt,gait,9.208333333333334,1.141287094417552,1.0,0.0,9.208333333333334,1.141287094417552,0.0,0.2916666666666667,0.5714285714285714,1.7142857142857142,2.217391304347826,0.7333559782608695,0.041666666666666664,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.08333333333333333,0.0
S37,early_abrupt,eeg,9.458333333333334,1.1787674722451364,1.0,0.0,9.458333333333334,1.1787674722451364,0.0,0.20833333333333334,0.6,2.0,1.8095238095238095,0.5576636904761905,0.125,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.4583333333333333,0.125,0.0
S37,late_abrupt,gait,9.0,1.5879984667608413,1.0416666666666667,0.2041241452319315,8.958333333333334,1.7315277663950706,0.041666666666666664,0.20833333333333334,0.6,2.0,2.6666666666666665,0.8902529761904762,0.125,0.42857142857142855,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.20833333333333334,0.16666666666666666,0.0
S37,late_abrupt,eeg,9.375,1.1349200316590018,1.0,0.0,9.375,1.1349200316590018,0.0,0.16666666666666666,0.5,1.5,1.434782608695652,0.4397078804347826,0.041666666666666664,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.375,0.20833333333333334,0.20833333333333334,0.0
S37,early_gradual,gait,9.5,0.9780192938436515,1.0,0.0,9.5,0.9780192938436515,0.0,0.25,0.16666666666666666,1.1666666666666667,1.5,0.5062144886363636,0.08333333333333333,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.125,0.0
S37,early_gradual,eeg,9.416666666666666,1.282547284209001,1.0,0.0,9.416666666666666,1.282547284209001,0.0,0.16666666666666666,0.5,1.5,1.7826086956521738,0.5514605978260869,0.041666666666666664,0.391304347826087,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.125,0.25,0.4583333333333333,0.125,0.0
S37,late_gradual,gait,9.166666666666666,1.685401943200769,1.0416666666666667,0.2041241452319315,9.125,1.8252456654188867,0.041666666666666664,0.20833333333333334,0.4,1.8,1.7727272727272727,0.5990767045454546,0.08333333333333333,0.5,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.08333333333333333,0.20833333333333334,0.125,0.3333333333333333,0.20833333333333334,0.0
S37,late_gradual,eeg,8.958333333333334,1.334465099374755,1.0,0.0,8.958333333333334,1.334465099374755,0.0,0.2916666666666667,0.5714285714285714,1.7142857142857142,1.9130434782608696,0.6834239130434783,0.041666666666666664,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.3333333333333333,0.2916666666666667,0.08333333333333333,0.0
S38,baseline,gait,9.083333333333334,1.9091693314716438,1.1666666666666667,0.5646597025732799,8.916666666666666,2.320357293826641,0.08333333333333333,0.25,0.5,2.8333333333333335,1.8181818181818181,0.5887784090909091,0.08333333333333333,0.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.041666666666666664,0.0,0.041666666666666664,0.20833333333333334,0.4166666666666667,0.16666666666666666,0.0
S38,baseline,eeg,9.041666666666666,1.3666578295932035,1.0,0.0,9.041666666666666,1.3666578295932035,0.0,0.25,0.5,1.8333333333333333,2.0454545454545454,0.6770241477272727,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.125,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0
S38,early_abrupt,gait,9.083333333333334,1.4421200175184923,1.0,0.0,9.083333333333334,1.4421200175184923,0.0,0.20833333333333334,0.6,2.0,1.7142857142857142,0.5775669642857143,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.375,0.125,0.0
S38,early_abrupt,eeg,8.875,1.701980943029264,1.0,0.0,8.875,1.701980943029264,0.0,0.2916666666666667,0.7142857142857143,2.857142857142857,1.5909090909090908,0.5239701704545454,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0
S38,late_abrupt,gait,9.041666666666666,1.5174110293140939,1.0,0.0,9.041666666666666,1.5174110293140939,0.0,0.2916666666666667,0.5714285714285714,2.142857142857143,1.7142857142857142,0.5827752976190477,0.125,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.041666666666666664,0.3333333333333333,0.25,0.16666666666666666,0.0
S38,late_abrupt,eeg,9.0,1.5879984667608413,1.0,0.0,9.0,1.5879984667608413,0.0,0.25,0.8333333333333334,2.6666666666666665,2.1363636363636362,0.6908735795454546,0.08333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.375,0.125,0.0
S38,early_gradual,gait,8.958333333333334,1.6805580508625224,1.1666666666666667,0.5646597025732799,8.791666666666666,2.1260121204339084,0.08333333333333333,0.2916666666666667,0.7142857142857143,2.2857142857142856,2.6363636363636362,0.8700284090909091,0.08333333333333333,0.5909090909090909,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.125,0.25,0.3333333333333333,0.125,0.0
S38,early_gradual,eeg,9.041666666666666,1.6805580508625224,1.0,0.0,9.041666666666666,1.6805580508625224,0.0,0.25,0.5,2.3333333333333335,1.5714285714285714,0.5329241071428571,0.125,0.5714285714285714,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.4166666666666667,0.125,0.0
S38,late_gradual,gait,9.25,1.1887150534341144,1.0,0.0,9.25,1.1887150534341144,0.0,0.25,0.5,1.8333333333333333,1.7727272727272727,0.6042258522727273,0.08333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.125,0.2916666666666667,0.4166666666666667,0.08333333333333333,0.0
S38,late_gradual,eeg,8.916666666666666,1.5580552724098262,1.0,0.0,8.916666666666666,1.5580552724098262,0.0,0.25,0.8333333333333334,2.3333333333333335,2.857142857142857,0.9525669642857143,0.125,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.125,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.0
S39,baseline,gait,9.208333333333334,1.7687914485336584,1.0833333333333333,0.408248290463863,9.125,2.0496553262736006,0.041666666666666664,0.25,0.5,2.1666666666666665,1.55,0.5244140625,0.16666666666666666,0.5,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.375,0.20833333333333334,0.0
S39,baseline,eeg,9.0,1.4744195615489712,1.0,0.0,9.0,1.4744195615489712,0.0,0.2916666666666667,0.7142857142857143,2.142857142857143,1.7727272727272727,0.5930397727272727,0.08333333333333333,0.5909090909090909,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.0
S39,early_abrupt,gait,9.083333333333334,1.316010660280157,1.0,0.0,9.083333333333334,1.316010660280157,0.0,0.25,0.5,2.0,1.8695652173913044,0.6136209239130435,0.041666666666666664,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.3333333333333333,0.125,0.0
