modality,condition,feature,n,mean_change,t,p,paired_dz,q_fdr
gait,late_gradual,pivot_depth,30,-0.24116402116402116,-1.4811819561480426,0.14934258827218472,-0.27042558971730357,0.2757093937332641
gait,late_gradual,tree_span_events,30,0.009299516908212558,0.10621815477716981,0.916140630536739,0.019392693129343674,0.9257842161213363
gait,late_gradual,tree_span_time,30,0.012881711623219771,0.41859231602778463,0.6785980429873388,0.07642415129558298,0.8246254699592978
gait,late_gradual,tree_root_fraction,30,-0.005555555555555554,-0.5832460484899823,0.5642363600248036,-0.10648567244457176,0.7222225408317486
gait,late_gradual,tree_ascending_fraction,30,-0.019638622247317904,-0.7627888480278412,0.45174984287627784,-0.1392655528927429,0.6232719179114975
gait,late_gradual,occ_L1,30,0.0,,,,
gait,late_gradual,occ_L2,30,-0.013888888888888892,-3.339737437860371,0.002316228855839514,-0.6097498436202111,0.010588474769552063
gait,late_gradual,occ_L3,30,-0.03611111111111111,-3.7103711313808314,0.0008729680200319248,-0.6774179884577486,0.005986066423076056
gait,late_gradual,occ_L4,30,-0.041666666666666664,-3.6306773723119745,0.0010793530521602814,-0.6628679652796169,0.006907859533825802
gait,late_gradual,occ_L5,30,-0.027777777777777773,-2.5246042013801633,0.017310387216229718,-0.4609275566227435,0.056220574124135586
gait,late_gradual,occ_L6,30,-0.004166666666666666,-0.48688522334164835,0.6299995016749984,-0.08889267324672054,0.7753840020615368
gait,late_gradual,occ_L7,30,-0.0013888888888888885,-0.12591925519936067,0.9006647757394026,-0.022989605498979836,0.9198278560742836
gait,late_gradual,occ_L8,30,0.031944444444444435,1.5267955643553113,0.13764594815999587,0.2787534570987449,0.2642802204671921
gait,late_gradual,occ_L9,30,-0.005555555555555549,-0.20296103522149694,0.8405828173344596,-0.0370554457618048,0.8966216718234236
gait,late_gradual,occ_L10,30,0.022222222222222223,1.2156097261742465,0.2339372242556737,0.22193895604943767,0.37429955880907795
gait,late_gradual,occ_L11,30,-0.015277777777777776,-1.3851118071929676,0.1765815765830008,-0.25288566048877825,0.2922729543442772
gait,late_gradual,occ_L12,30,0.0,,,,
eeg,early_abrupt,mean_H,30,0.03749999999999988,0.61706956005923,0.5420037777705813,0.11266097253140973,0.9587963561008681
eeg,early_abrupt,sd_H,30,0.04252059981622713,0.6675028694611794,0.5097283247392956,0.12186879293443807,0.9587963561008681
eeg,early_abrupt,mean_D,30,0.006944444444444457,1.222638687767055,0.23131001019549569,0.22322226298951053,0.9587963561008681
eeg,early_abrupt,sd_D,30,0.03402069087198858,1.2226386877670532,0.23131001019549643,0.22322226298951023,0.9587963561008681
eeg,early_abrupt,mean_lambda,30,0.030555555555555478,0.4858741968855083,0.6307075030778725,0.08870808591463307,0.9587963561008681
eeg,early_abrupt,sd_lambda,30,0.06230728376423368,0.895033859122903,0.3781379828512242,0.1634100781241717,0.9587963561008681
eeg,early_abrupt,multilevel,30,0.006944444444444445,1.54176819928544,0.13397251720606623,0.28148707373091864,0.9587963561008681
eeg,early_abrupt,pivot_rate,30,0.015277777777777779,1.146614414683957,0.2609139061327827,0.20934219322766207,0.9587963561008681
eeg,early_abrupt,compound_pivot_fraction,30,0.002420634920634912,0.04059185095850718,0.9678994569948409,0.007411024140287362,1.0
eeg,early_abrupt,pivot_depth,30,0.04523809523809525,0.3262130176036795,0.7466056987084517,0.05955807609778839,0.9587963561008681
eeg,early_abrupt,tree_span_events,30,-0.19817774013426187,-2.7931276316758775,0.009149688177035448,-0.5099530032866197,0.4123695641629745
eeg,early_abrupt,tree_span_time,30,-0.07354491636081313,-3.168846147222389,0.0035928353437382535,-0.5785495053656796,0.3377265223113958
eeg,early_abrupt,tree_root_fraction,30,0.01944444444444444,1.9978921476666007,0.05518414554995838,0.36476353224647984,0.9587963561008681
eeg,early_abrupt,tree_ascending_fraction,30,-0.016654432523997727,-0.5805392834452566,0.5660353417091312,-0.10599148702028416,0.9587963561008681
eeg,early_abrupt,occ_L1,30,0.0,,,,
eeg,early_abrupt,occ_L2,30,0.0,,,,
eeg,early_abrupt,occ_L3,30,0.0013888888888888887,0.5708263279047434,0.5725145639415321,0.10421815207042287,0.9587963561008681
eeg,early_abrupt,occ_L4,30,0.0013888888888888885,0.29689374640860133,0.7686637844359999,0.05420513403006979,0.9587963561008681
eeg,early_abrupt,occ_L5,30,0.012499999999999999,1.5569677603634398,0.13032542545386233,0.28426212121978456,0.9587963561008681
eeg,early_abrupt,occ_L6,30,0.002777777777777778,0.25849618275265857,0.7978498621354133,0.047194730107536324,0.9739985329964786
eeg,early_abrupt,occ_L7,30,-0.015277777777777777,-1.0763215789441178,0.29065642705453143,-0.19650853597242363,0.9587963561008681
eeg,early_abrupt,occ_L8,30,-0.022222222222222223,-1.3719886811400706,0.18058789440264006,-0.25048971643405976,0.9587963561008681
eeg,early_abrupt,occ_L9,30,0.009722222222222217,0.34353086328895843,0.7336773212293137,0.0627198676741953,0.9587963561008681
eeg,early_abrupt,occ_L10,30,0.009722222222222219,0.39777244128127853,0.6937109641487793,0.0726229796145518,0.9587963561008681
eeg,early_abrupt,occ_L11,30,0.0069444444444444475,0.4522315769091515,0.6544668862820553,0.08256581196309157,0.9587963561008681
eeg,early_abrupt,occ_L12,30,0.0,,,,
eeg,late_abrupt,mean_H,30,0.07777777777777756,1.311865116550052,0.19985621664930805,0.23951270557953575,0.9587963561008681
eeg,late_abrupt,sd_H,30,0.007455016108487744,0.115868565268322,0.9085553499629259,0.021154608967739862,1.0
eeg,late_abrupt,mean_D,30,0.0013888888888888913,0.4411698907260347,0.6623617732700398,0.08054623361424613,0.9587963561008681
eeg,late_abrupt,sd_D,30,0.006804138174397717,0.44116989072603485,0.6623617732700398,0.08054623361424615,0.9587963561008681
eeg,late_abrupt,mean_lambda,30,0.07638888888888881,1.269587008178919,0.21432574467210372,0.2317938143650299,0.9587963561008681
eeg,late_abrupt,sd_lambda,30,0.014415351569567388,0.21625831826634787,0.8303004170580682,0.03948318638753674,1.0
