contrast,feature,n_pairs,ref_mean,rof_mean,mean_difference,paired_t_p,wilcoxon_p,dz,q_BH,ren_mean,ron_mean
ref-minus-rof,POSPEAK_mean_D,12,1.06640625,1.0533854166666667,0.013020833333333334,0.4991280865985601,0.23828125,0.20175370854236604,0.8379729020307268,,
ref-minus-rof,POSPEAK_mean_lambda,12,6.001302083333333,6.216145833333333,-0.21484375,0.0577894178756627,0.05078125,-0.6113581744367943,0.8379729020307268,,
ref-minus-rof,POSPEAK_multilevel,12,0.057291666666666664,0.045572916666666664,0.01171875,0.5510034726282027,0.19140625,0.17756312235479013,0.8379729020307268,,
ref-minus-rof,DOWN0_mean_H,12,6.09765625,6.13671875,-0.0390625,0.7453474788546657,0.98486328125,-0.09614738137781748,0.8469857714257565,,
ref-minus-rof,DOWN0_mean_D,12,1.7408854166666667,1.6979166666666667,0.04296875,0.6021952186859904,0.65234375,0.15491700603699482,0.8379729020307268,,
ref-minus-rof,DOWN0_mean_lambda,12,5.356770833333333,5.438802083333333,-0.08203125,0.6639395879781588,0.8056640625,-0.1288764750268957,0.8379729020307268,,
ref-minus-rof,DOWN0_multilevel,12,0.5091145833333334,0.4817708333333333,0.02734375,0.6703783216245814,0.6923828125,0.12622815127683074,0.8379729020307268,,
ref-minus-rof,NEGPEAK_mean_H,12,6.096354166666667,6.203125,-0.10677083333333333,0.29874179386830607,0.5341796875,-0.31484312406922255,0.8379729020307268,,
ref-minus-rof,NEGPEAK_mean_D,12,1.21875,1.24609375,-0.02734375,0.5666099238647332,0.58154296875,-0.17054274023391483,0.8379729020307268,,
ref-minus-rof,NEGPEAK_mean_lambda,12,5.877604166666667,5.95703125,-0.07942708333333333,0.25480030715655305,0.23974609375,-0.34683325261516434,0.8379729020307268,,
ref-minus-rof,NEGPEAK_multilevel,12,0.18229166666666666,0.20572916666666666,-0.0234375,0.5330208870772137,0.38818359375,-0.18579243378534777,0.8379729020307268,,
ren-minus-ron,mean_H,13,,,-0.033052884615384616,0.6415205571744308,0.772705078125,-0.1324607420919302,1.0,6.027944711538462,6.060997596153846
ren-minus-ron,mean_D,13,,,0.0006009615384615385,0.9565262966815236,0.9609375,0.015438147940906631,1.0,1.9477163461538463,1.9471153846153846
ren-minus-ron,mean_lambda,13,,,-0.03365384615384615,0.6226494352118884,0.7353515625,-0.14008434960690977,1.0,5.080228365384615,5.113882211538462
ren-minus-ron,multilevel,13,,,0.004507211538461538,0.6399039485462213,0.5986328125,0.1331095905104053,1.0,0.42758413461538464,0.4230769230769231
ren-minus-ron,pivot_rate,13,,,0.00030048076923076925,0.9740526897579055,0.95361328125,0.009210951577295151,1.0,0.16676682692307693,0.16646634615384615
ren-minus-ron,compound_pivot_fraction,13,,,0.007290252620890234,0.7491271377541683,0.7333984375,0.09075898820621951,1.0,0.6054500447953314,0.5981597921744412
ren-minus-ron,pivot_depth,13,,,-0.0023469056818194657,0.9543980869835429,0.786865234375,-0.016194815594605408,1.0,1.9860977784649418,1.9884446841467613
ren-minus-ron,tree_span_events,13,,,0.0008272680212184464,0.9425293129425711,1.0,0.02041722840902715,1.0,2.6446265359721672,2.643799267950949
ren-minus-ron,tree_span_time,13,,,0.0017565078313688937,0.7867185873707211,1.0,0.07674285219771079,1.0,1.3075119927612404,1.3057554849298714
ren-minus-ron,tree_root_fraction,13,,,4.760035838861547e-06,0.5475081536933906,0.47265625,0.17167089648324343,1.0,0.0039263844436705254,0.0039216244078316646
ren-minus-ron,UP0_mean_H,13,,,-0.01201923076923077,0.7660491156166582,0.5302734375,-0.08442100714558376,1.0,5.862980769230769,5.875
ren-minus-ron,UP0_mean_D,13,,,-0.01201923076923077,0.7660491156166582,0.5302734375,-0.08442100714558376,1.0,3.847355769230769,3.859375
ren-minus-ron,UP0_multilevel,13,,,0.001201923076923077,0.584492877305777,1.0,0.15585730003983936,1.0,0.9987980769230769,0.9975961538461539
ren-minus-ron,POSPEAK_mean_H,13,,,-0.037259615384615384,0.6657467043295847,0.530029296875,-0.12282647202130073,1.0,6.0576923076923075,6.094951923076923
ren-minus-ron,POSPEAK_mean_D,13,,,0.016826923076923076,0.22961776686854068,0.265625,0.3510621067683544,1.0,1.0901442307692308,1.0733173076923077
ren-minus-ron,POSPEAK_mean_lambda,13,,,-0.054086538461538464,0.4997147446724047,0.29736328125,-0.1930231550723268,1.0,5.967548076923077,6.021634615384615
ren-minus-ron,POSPEAK_multilevel,13,,,0.009615384615384616,0.24242613149442943,0.30517578125,0.34101782308734896,1.0,0.06610576923076923,0.056490384615384616
ren-minus-ron,DOWN0_mean_H,13,,,-0.052884615384615384,0.46425151596824393,0.497314453125,-0.20966728180912042,1.0,6.090144230769231,6.143028846153846
ren-minus-ron,DOWN0_mean_D,13,,,0.002403846153846154,0.9561572515940554,0.95458984375,0.015569349831298675,1.0,1.6370192307692308,1.6346153846153846
ren-minus-ron,DOWN0_mean_lambda,13,,,-0.055288461538461536,0.5855086111067189,0.623291015625,-0.15543068694570172,1.0,5.453125,5.508413461538462
ren-minus-ron,DOWN0_multilevel,13,,,0.007211538461538462,0.7983990275364989,0.857421875,0.07243211517642602,1.0,0.4567307692307692,0.4495192307692308
ren-minus-ron,NEGPEAK_mean_H,13,,,-0.030048076923076924,0.7773475092746873,0.986328125,-0.08021573889230982,1.0,6.100961538461538,6.131009615384615
ren-minus-ron,NEGPEAK_mean_D,13,,,-0.004807692307692308,0.8843314111670354,0.934814453125,-0.041216311182345755,1.0,1.2163461538461537,1.2211538461538463
ren-minus-ron,NEGPEAK_mean_lambda,13,,,-0.025240384615384616,0.8316646217808323,0.98974609375,-0.06025388815004834,1.0,5.884615384615385,5.909855769230769
ren-minus-ron,NEGPEAK_multilevel,13,,,0.0,1.0,0.954833984375,0.0,1.0,0.18870192307692307,0.18870192307692307
ron-minus-rof,mean_H,14,,6.131975446428571,-0.018694196428571428,0.7943340181109609,0.9000613080475436,-0.07111887247760422,0.945635735846382,,6.11328125
ron-minus-rof,mean_D,14,,1.9757254464285714,-0.03404017857142857,0.051523864859945936,0.06494704232454161,-0.5729900409361404,0.4293655404995495,,1.9416852678571428
ron-minus-rof,mean_lambda,14,,5.15625,0.015345982142857142,0.8488010931035712,0.7063581381512472,0.05197878722334376,0.9645466967086037,,5.171595982142857
ron-minus-rof,multilevel,14,,0.4375,-0.017857142857142856,0.15852721962186084,0.2892161639771518,-0.3998270353295544,0.4908425834326176,,0.41964285714285715
