frontend,condition,change,feature,n,rho,p,q_global
theta_global,late_gradual,False,tree_root_fraction,30,0.03787073586359961,0.8425101772078604,0.989854645308112
theta_global,late_gradual,False,tree_ascending_fraction,30,-0.15833061625943018,0.40334999925250775,0.9894404911404886
theta_global,late_gradual,False,occ_L2,30,,,
theta_global,late_gradual,False,occ_L3,30,0.19611613513818402,0.29896351505458696,0.9894404911404886
theta_global,late_gradual,False,occ_L4,30,0.011818701787381793,0.9505747101218786,0.9920481792692906
theta_global,late_gradual,False,occ_L5,30,-0.37212395876325355,0.042869280282692594,0.9894404911404886
theta_global,late_gradual,False,occ_L6,30,-0.17262462282417237,0.3616621744085859,0.9894404911404886
theta_global,late_gradual,False,occ_L7,30,0.02499328883616329,0.8956983572053451,0.9917264923863099
theta_global,late_gradual,False,occ_L8,30,0.21314935404108185,0.25809049084331553,0.9894404911404886
theta_global,late_gradual,False,occ_L9,30,0.02269635454669574,0.9052389948069773,0.9920481792692906
theta_global,late_gradual,False,occ_L10,30,-0.2643418088646169,0.15807006219937286,0.9894404911404886
theta_global,late_gradual,False,occ_L11,30,-0.37777769807060463,0.039568270496239545,0.9894404911404886
theta_global,early_abrupt,True,mean_H,30,0.0014497613227932307,0.9939335471741475,1.0
theta_global,early_abrupt,True,sd_H,30,-0.2387096774193548,0.2039526687241901,0.9982245823548548
theta_global,early_abrupt,True,mean_D,30,0.030094872039214772,0.87456102212972,0.9982245823548548
theta_global,early_abrupt,True,sd_D,30,-0.0011785062905074382,0.995068584883023,1.0
theta_global,early_abrupt,True,mean_lambda,30,-0.049782826904129746,0.793901744576745,0.9982245823548548
theta_global,early_abrupt,True,sd_lambda,30,-0.09054505005561733,0.6341869117475186,0.9982245823548548
theta_global,early_abrupt,True,multilevel,30,0.0,1.0,1.0
theta_global,early_abrupt,True,pivot_rate,30,-0.10140049569294944,0.5939149263399615,0.9982245823548548
theta_global,early_abrupt,True,compound_pivot_fraction,30,0.18293237734053666,0.33325179644367514,0.9982245823548548
theta_global,early_abrupt,True,pivot_depth,30,-0.2238307405179226,0.23442498245663468,0.9982245823548548
theta_global,early_abrupt,True,tree_span_events,30,0.2276115266059138,0.22640848872145106,0.9982245823548548
theta_global,early_abrupt,True,tree_span_time,30,0.12124582869855395,0.5233214598378129,0.9982245823548548
theta_global,early_abrupt,True,tree_root_fraction,30,-0.06527485624615277,0.7318248351025813,0.9982245823548548
theta_global,early_abrupt,True,tree_ascending_fraction,30,0.10815622632884958,0.5694258071118311,0.9982245823548548
theta_global,early_abrupt,True,occ_L2,30,0.3892494720807615,0.033496842800407815,0.9982245823548548
theta_global,early_abrupt,True,occ_L3,30,0.204132436843518,0.27924610256746923,0.9982245823548548
theta_global,early_abrupt,True,occ_L4,30,0.2271896455629676,0.2272937295133934,0.9982245823548548
theta_global,early_abrupt,True,occ_L5,30,-0.27249122956113336,0.14516876986599161,0.9982245823548548
theta_global,early_abrupt,True,occ_L6,30,-0.11432494678031706,0.5474712491531841,0.9982245823548548
