subject,condition,frontend,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,tree_ascending_fraction,occ_L1,occ_L2,occ_L3,occ_L4,occ_L5,occ_L6,occ_L7,occ_L8,occ_L9,occ_L10,occ_L11,occ_L12
S25,baseline,beta_central,8.916666666666666,1.7916877315917057,1.0416666666666667,0.2041241452319315,8.875,1.918162617216527,0.041666666666666664,0.25,0.6666666666666666,2.8333333333333335,1.8636363636363635,0.5653409090909091,0.08333333333333333,0.5909090909090909,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.20833333333333334,0.2916666666666667,0.16666666666666666,0.0
S25,early_abrupt,gait,8.625,1.8132963018384143,1.0,0.0,8.625,1.8132963018384143,0.0,0.25,1.0,3.5,2.0,0.6968005952380952,0.125,0.6666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.041666666666666664,0.25,0.3333333333333333,0.08333333333333333,0.0
S25,early_abrupt,theta_global,8.958333333333334,1.3014763077790332,1.0,0.0,8.958333333333334,1.3014763077790332,0.0,0.25,0.6666666666666666,1.8333333333333333,1.6521739130434783,0.55078125,0.041666666666666664,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.125,0.3333333333333333,0.2916666666666667,0.08333333333333333,0.0
S25,early_abrupt,alpha_global,9.291666666666666,1.4288690166235205,1.0,0.0,9.291666666666666,1.4288690166235205,0.0,0.25,0.5,1.6666666666666667,1.826086956521739,0.5748980978260869,0.041666666666666664,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.0
S25,early_abrupt,beta_global,9.041666666666666,1.1970676733137326,1.0416666666666667,0.2041241452319315,9.0,1.318760946791574,0.041666666666666664,0.25,0.6666666666666666,2.1666666666666665,1.9047619047619047,0.6460193452380952,0.125,0.5714285714285714,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.4583333333333333,0.16666666666666666,0.125,0.0
S25,early_abrupt,mu_central,9.166666666666666,1.203858530857692,1.0,0.0,9.166666666666666,1.203858530857692,0.0,0.3333333333333333,0.5,1.875,2.0,0.7254464285714286,0.125,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.20833333333333334,0.3333333333333333,0.125,0.0
S25,early_abrupt,beta_central,8.708333333333334,1.4884823513044847,1.0833333333333333,0.28232985128663995,8.625,1.6891598117304405,0.08333333333333333,0.2916666666666667,0.7142857142857143,2.5714285714285716,1.6666666666666667,0.47265625,0.125,0.5714285714285714,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125,0.08333333333333333,0.5,0.08333333333333333,0.125,0.0
S25,late_abrupt,gait,9.125,1.541103500742244,1.0,0.0,9.125,1.541103500742244,0.0,0.20833333333333334,0.8,2.8,2.2857142857142856,0.7565104166666666,0.125,0.47619047619047616,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.25,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0
S25,late_abrupt,theta_global,9.083333333333334,1.665941871387048,1.0,0.0,9.083333333333334,1.665941871387048,0.0,0.25,0.6666666666666666,2.6666666666666665,1.8181818181818181,0.5712002840909091,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.4166666666666667,0.25,0.16666666666666666,0.0
S25,late_abrupt,alpha_global,9.416666666666666,1.3805061033726997,1.0,0.0,9.416666666666666,1.3805061033726997,0.0,0.20833333333333334,0.6,1.6,1.7142857142857142,0.5533854166666666,0.125,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.4166666666666667,0.20833333333333334,0.0
